128,1536,19,1324.6,"1536 59.7566 0.0117629 6 96 ; 1 1.3 0.5 1 100",96,0.0129141,0.760737,0.793528
256,3072,16, 1513.83, "3072 81.0982 0.00789906 5 60 ; ", 60, 0.0086061, 1.52551, 1.54901
64,768,18, 1135.38, "768 54.0655 0.00180636 6 67 ; ", 67, 0.0020463, 0.234794, 0.242327
